200	What is the nature of the hazard found in the Scotch eggs and Savoury Bites products?	Are there any other products from Pork Farms that have been recalled due to foreign bodies?	How many glass fragments were detected in the affected batches of Precooked cooked pork meat products?	Were the affected products distributed only within the UK or also internationally?	What is the estimated cost of the product withdrawal and recall for Marks and Spencer and Somerfield?
201	What is the nature of the allergen hazard associated with Fabulously Fun Lolly Pops?	Are eggs and products thereof commonly used as ingredients in confectionery products like lollipops?	Has Confectionery Trading Company recalled any other products due to similar allergen hazards?	Can consumers who are allergic to eggs safely consume Fabulously Fun Lolly Pops?	What steps can I take to inform customers about the egg allergen hazard in these lollipops?
202	What is the nature of the hazard identified in this incident (eggs and products thereof)?	How does the presence of eggs in milk chocolate affect consumers with egg allergies?	Is there any information on the quantity of contaminated product that was produced or distributed?	Were any recalls issued as a result of this incident, and if so, what were their details?	What steps can I take to ensure compliance with food safety regulations regarding allergens in chocolate products?
203	What is the specific type of heavy metal contaminant found in the White Wings—Cornflour 300 G product?	Is there any information available about the source or origin of the contaminated corn used to produce this product?	Has any recall been initiated for this product due to the heavy metals contamination?	Are there any similar incidents reported involving other products made from corn or cereals and bakery products?	What are the potential health risks associated with consuming White Wings—Cornflour 300 G contaminated with heavy metals?
204	What is Sudan 4 and what makes it a chemical hazard?	Is palm oil commonly used in food products that I consume regularly?	Can you provide more information about the unauthorized use of Sudan 4 in this product?	How does this incident affect the safety of other fats and oils on the market?	What are the next steps for recalling or re-labeling affected products containing palm oil?
205	What is the estimated number of glass fragments found in the affected product?	Has Conga Foods Pty Ltd issued a recall notice for the Spanish Black Pitted Olives with the specific batch number associated with this incident?	Can you provide more information about the Green Valley facility where the contaminated olives were produced?	What is the typical manufacturing process for glass jars used to package the Spanish Black Pitted Olives, and could it have contributed to the presence of a glass fragment?	Are there any similar incidents reported involving glass fragments in other products manufactured by Conga Foods Pty Ltd?
206	What is the current status of the recall for F Mayer Imports Pty Ltd's Smoked Salmon product?	Are there any similar incidents involving Listeria monocytogenes in smoked seafood products?	Has the Australian government taken any measures to prevent future contamination of smoked salmon products?	Can I get a list of all food products recalled due to Listeria monocytogenes contamination since 2020?	What are the typical symptoms of Listeria monocytogenes infection in humans, and how is it treated?
207	What is the nature of the fraud alleged in this incident?	Was there any misdescription or misleading labelling on the packaging of these Mini Beef Ravioli in Tomato Sauce products?	Can you provide more information about the product category 'prepared dishes and snacks' and how it relates to this incident?	What specific actions did Hormel Foods Australia Pty Ltd take in response to this alleged fraud?	Are there any similar incidents involving Hormel Foods or their products that I should be aware of?
208	What was the nature of the labelling/misdescription issue with the Fruity Muesli Cookies?	Did Woolworths Limited recall any batches of the affected product?	Were there any reported cases of consumer illness or injury related to consuming the mislabelled cookies?	Can I see a copy of the original label that was used on the Fruity Muesli Cookies?	Has Woolworths Limited taken any steps to prevent similar incidents from happening in the future?
209	What is the toxin that was detected in the Homebrand Mackerel in Natural Oil product?	Is there a risk of food poisoning associated with consuming this product?	Has Woolworths Limited issued any recalls or warnings related to this incident?	What is the recommended safe handling and storage procedure for Mackerel in Natural Oil products to prevent toxin contamination?	Are there any similar incidents of toxin contamination reported in other seafood products from Woolworths Limited or Homebrand?
210	What is the specific product description of the deli cooked lamb that was recalled?	Are there any reported cases of salmonella illness associated with this recall?	Has WM Morrison taken steps to sanitize their instore delicatessen counters and equipment?	Is the recall limited to a specific geographic area or all locations where the product was sold?	What is the estimated quantity of affected product that has been recalled by WM Morrison?
211	What is the specific date range during which the contaminated ham was sold from Sainsbury's delicatessen counters?	Are there any other products or brands that have been recalled due to salmonella contamination in the past year?	Can I get a list of all the stores where this contaminated ham was sold, and are they located in a specific region?	What is the recommended course of action for consumers who may have purchased this product and are concerned about food safety?	Is there any information available on how Sainsbury's plans to prevent similar incidents from happening in the future?
212	What is the nature of the plastic fragment found in the Maggi Frozen Macaroni Cheese?	Was the product recalled by Nestlé due to this incident?	Can you provide more information about the preparation and cooking instructions for this ready-to-eat meal?	How does a foreign body like a plastic fragment end up in a frozen food product like Maggi Frozen Macaroni Cheese?	Are there any similar incidents of plastic fragments being found in other Nestlé products?
213	What is the specific allergen (peanuts) that was found in the product?	Is it possible to identify the source of the peanuts contamination in the milk chocolate covered raisins?	Were there any reported cases of allergic reactions or illnesses related to this incident?	Does this recall affect other products from Candy Lane Chocolate Coated Sultanas, such as their plain sultanas or other confectionery items?	What is the current status of the product's availability in stores and online marketplaces?
