id	question
200	What is the nature of the hazard found in the Scotch eggs and Savoury Bites products?
200	Are there any other products from Pork Farms that have been recalled due to foreign bodies?
200	How many glass fragments were detected in the affected batches of Precooked cooked pork meat products?
200	Were the affected products distributed only within the UK or also internationally?
200	What is the estimated cost of the product withdrawal and recall for Marks and Spencer and Somerfield?
201	What is the nature of the allergen hazard associated with Fabulously Fun Lolly Pops?
201	Are eggs and products thereof commonly used as ingredients in confectionery products like lollipops?
201	Has Confectionery Trading Company recalled any other products due to similar allergen hazards?
201	Can consumers who are allergic to eggs safely consume Fabulously Fun Lolly Pops?
201	What steps can I take to inform customers about the egg allergen hazard in these lollipops?
202	What is the nature of the hazard identified in this incident (eggs and products thereof)?
202	How does the presence of eggs in milk chocolate affect consumers with egg allergies?
202	Is there any information on the quantity of contaminated product that was produced or distributed?
202	Were any recalls issued as a result of this incident, and if so, what were their details?
202	What steps can I take to ensure compliance with food safety regulations regarding allergens in chocolate products?
203	What is the specific type of heavy metal contaminant found in the White Wings—Cornflour 300 G product?
203	Is there any information available about the source or origin of the contaminated corn used to produce this product?
203	Has any recall been initiated for this product due to the heavy metals contamination?
203	Are there any similar incidents reported involving other products made from corn or cereals and bakery products?
203	What are the potential health risks associated with consuming White Wings—Cornflour 300 G contaminated with heavy metals?
204	What is Sudan 4 and what makes it a chemical hazard?
204	Is palm oil commonly used in food products that I consume regularly?
204	Can you provide more information about the unauthorized use of Sudan 4 in this product?
204	How does this incident affect the safety of other fats and oils on the market?
204	What are the next steps for recalling or re-labeling affected products containing palm oil?
205	What is the estimated number of glass fragments found in the affected product?
205	Has Conga Foods Pty Ltd issued a recall notice for the Spanish Black Pitted Olives with the specific batch number associated with this incident?
205	Can you provide more information about the Green Valley facility where the contaminated olives were produced?
205	What is the typical manufacturing process for glass jars used to package the Spanish Black Pitted Olives, and could it have contributed to the presence of a glass fragment?
205	Are there any similar incidents reported involving glass fragments in other products manufactured by Conga Foods Pty Ltd?
206	What is the current status of the recall for F Mayer Imports Pty Ltd's Smoked Salmon product?
206	Are there any similar incidents involving Listeria monocytogenes in smoked seafood products?
206	Has the Australian government taken any measures to prevent future contamination of smoked salmon products?
206	Can I get a list of all food products recalled due to Listeria monocytogenes contamination since 2020?
206	What are the typical symptoms of Listeria monocytogenes infection in humans, and how is it treated?
207	What is the nature of the fraud alleged in this incident?
207	Was there any misdescription or misleading labelling on the packaging of these Mini Beef Ravioli in Tomato Sauce products?
207	Can you provide more information about the product category 'prepared dishes and snacks' and how it relates to this incident?
207	What specific actions did Hormel Foods Australia Pty Ltd take in response to this alleged fraud?
207	Are there any similar incidents involving Hormel Foods or their products that I should be aware of?
208	What was the nature of the labelling/misdescription issue with the Fruity Muesli Cookies?
208	Did Woolworths Limited recall any batches of the affected product?
208	Were there any reported cases of consumer illness or injury related to consuming the mislabelled cookies?
208	Can I see a copy of the original label that was used on the Fruity Muesli Cookies?
208	Has Woolworths Limited taken any steps to prevent similar incidents from happening in the future?
209	What is the toxin that was detected in the Homebrand Mackerel in Natural Oil product?
209	Is there a risk of food poisoning associated with consuming this product?
209	Has Woolworths Limited issued any recalls or warnings related to this incident?
209	What is the recommended safe handling and storage procedure for Mackerel in Natural Oil products to prevent toxin contamination?
209	Are there any similar incidents of toxin contamination reported in other seafood products from Woolworths Limited or Homebrand?
210	What is the specific product description of the deli cooked lamb that was recalled?
210	Are there any reported cases of salmonella illness associated with this recall?
210	Has WM Morrison taken steps to sanitize their instore delicatessen counters and equipment?
210	Is the recall limited to a specific geographic area or all locations where the product was sold?
210	What is the estimated quantity of affected product that has been recalled by WM Morrison?
211	What is the specific date range during which the contaminated ham was sold from Sainsbury's delicatessen counters?
211	Are there any other products or brands that have been recalled due to salmonella contamination in the past year?
211	Can I get a list of all the stores where this contaminated ham was sold, and are they located in a specific region?
211	What is the recommended course of action for consumers who may have purchased this product and are concerned about food safety?
211	Is there any information available on how Sainsbury's plans to prevent similar incidents from happening in the future?
212	What is the nature of the plastic fragment found in the Maggi Frozen Macaroni Cheese?
212	Was the product recalled by Nestlé due to this incident?
212	Can you provide more information about the preparation and cooking instructions for this ready-to-eat meal?
212	How does a foreign body like a plastic fragment end up in a frozen food product like Maggi Frozen Macaroni Cheese?
212	Are there any similar incidents of plastic fragments being found in other Nestlé products?
213	What is the specific allergen (peanuts) that was found in the product?
213	Is it possible to identify the source of the peanuts contamination in the milk chocolate covered raisins?
213	Were there any reported cases of allergic reactions or illnesses related to this incident?
213	Does this recall affect other products from Candy Lane Chocolate Coated Sultanas, such as their plain sultanas or other confectionery items?
213	What is the current status of the product's availability in stores and online marketplaces?
214	What is the current status of the Marks & Spencer Cheesy Spirals 'Loved by Kids' meal recall?
214	Can you provide more information about the chemical hazard (chlorine) found in the product?
214	Are there any similar products from Marks & Spencer that have been recalled for a chemical hazard?
214	How can I be sure that my child is not affected by consuming this product, and what should I do if they have already eaten it?
214	Is there an investigation underway to determine how chlorine ended up in the Cheesy Spirals 'Loved by Kids' meal?
215	What is the nature of the allergen (milk and products thereof) found in the Seawoods Soft Flour Cake?
215	How does the presence of milk and products thereof affect consumers who are lactose intolerant or have a milk allergy?
215	Is there any information on the quantity of milk and products thereof used in the production of the Seawoods Soft Flour Cake?
215	Can you provide more details about the FSANZ 2005/01 reference mentioned in this incident record?
215	What are the potential consequences for consumers who consume the Seawoods Soft Flour Cake without being aware of the milk allergen?
216	What is the estimated weight range of the affected BBQ sausages?
216	Are there any specific pack sizes that were found to contain plastic fragments?
216	Can you provide more information about the type of plastic fragment detected in the sausage product?
216	Were any other products from Coles and Bi-Lo recalled due to similar foreign body hazards?
216	What is the current status of this incident, has a recall been initiated or completed?
217	What was the nature of the spoilage issue with the chocolate flavoured milk UHT Longlife product?
217	Was the spoilage issue related to a specific batch or production run of the product?
217	Did the spoilage issue affect any other products in the dairy category, aside from the chocolate flavoured milk UHT Longlife?
217	What was the outcome of the investigation into the spoilage incident with Parmalat Australia Ltd's product?
217	Are there any similar spoilage incidents reported for other dairy products in the same production facility?
218	What is the specific allergenic component of eggs that was found in the Coles Parmagiana Beef Rissoles?
218	Are there any other products from Coles that contain beef and have been recalled due to similar egg-related hazards?
218	Can you provide more information about the production process or supply chain for the Coles Parmagiana Beef Rissoles that may have led to the presence of eggs in the product?
218	Have there been any reported cases of allergic reactions or foodborne illnesses associated with consuming the Coles Parmagiana Beef Rissoles?
218	What steps is Coles taking to prevent similar incidents involving egg allergens in their meat, egg and dairy products?
219	What is the nature of the allergen hazard in these Masterfoods Mars fundraising speckled eggs boxes?
219	Are there any specific product categories within cocoa and cocoa preparations, coffee and tea that are most at risk due to this peanut contamination?
219	Can you provide more information about the chocolate eggs product itself, such as its packaging or manufacturing process?
219	How might this peanut hazard be mitigated in future production runs of these fundraising speckled eggs boxes?
219	Are there any similar incidents involving peanuts and products thereof in other Masterfoods Mars products?
220	What is the current status of the product recall for Mauri brand cheese Bon Taleggio Valsassina?
220	Are there any reported cases of illness associated with consumption of this contaminated cheese product?
220	Has Fromagent Australia taken corrective actions to prevent future contamination incidents involving their products?
220	Can you provide more information about the Listeria monocytogenes strain responsible for the contamination in this case?
220	What are the recommended safe handling and storage procedures for consumers who may have purchased this contaminated cheese product?
221	What is the specific allergenic component of milk that was found in Uncle Tobys—Le Snak Rice Crackers?
221	Are there any other products from Uncle Tobys or Le Snak that contain milk and products thereof?
221	Can you provide more information about the Mild Salsa Dip served with BBQ Flavoured Le Snak Rice Crackers?
221	How does this incident relate to previous recalls or alerts for Uncle Tobys or Le Snak products?
221	What are the recommended steps for consumers who may have ingested the affected product and are experiencing symptoms?
222	What was the specific cause of spoilage in the orange juice product?
222	Were there any reported cases of consumer illness or complaint related to this incident?
222	Did the affected product lot undergo any quality control checks before being distributed?
222	Is it possible that the spoilage was due to contamination rather than a manufacturing issue?
222	What corrective actions were taken by Coles, Farmland & BI-LO to prevent similar incidents in the future?
223	What is the specific type of cereal containing gluten that was found in the Woolworths Home Brand Nacho Cheese Flavoured Corn Chips?
223	Are there any other products from Woolworths Limited that have been recalled due to similar allergen contamination issues?
223	Can you provide more information about the manufacturing process for these corn chips, as it may be relevant to understanding how the gluten contamination occurred?
223	What is the current status of the recall for this product - has it been completed and are there any ongoing investigations?
223	Are there any recommendations or guidelines provided by regulatory agencies (e.g. FSANZ) regarding safe handling and consumption of these corn chips?
224	What is the current status of the recall for Tender Choice Foods(Aust) Pty Ltd's Oven Roasted Skinless Sliced Chicken products?
224	Has there been a confirmed case of illness associated with consumption of this product?
224	Are there any specific storage or handling instructions that consumers should follow to minimize risk?
224	Can you provide more information on the Listeria monocytogenes contamination found in these chicken products?
224	Have any similar incidents involving ready-to-eat cook meals been reported in Australia?
225	What is the nature of the plastic fragment found in the Coles Myer Ltd—Bi-Lo Shredded Lite Tasty Cheese product?
225	Is there a risk assessment available for this incident to determine the potential harm caused by consuming the contaminated cheese?
225	Can I view the recall notice issued by the relevant authorities as a result of this incident?
225	What steps has Coles Myer Ltd taken to rectify the situation and prevent similar incidents in the future?
225	Are there any other products from Coles Myer Ltd that have been recalled due to foreign bodies contamination?
226	What is the nature of the chemical hazard found in Pun Chun Lye Water?
226	Is there any information available about the source or origin of the contamination?
226	Has Yuen's Market Trading Company issued any recalls or warnings related to this incident?
226	Can you provide more details about the 'other' hazard category assigned to this product?
226	Are there any similar incidents involving bottled water products that have been reported in the past?
227	What is the source of the Escherichia coli (E. coli) contamination in the Aristocrat Gourmet Foods—Aristocrat and Melton Pork Pies?
227	Are there any reported cases of foodborne illness associated with this product?
227	Has the manufacturer, Aristocrat Gourmet Foods, issued a recall for this specific product line due to E. coli concerns?
227	What is the current status of the investigation into the E. coli contamination in these pork pies?
227	Can I get information on any similar food safety incidents involving prepared dishes and snacks from Aristocrat Gourmet Foods?
228	What is the size and shape of the plastic fragment found in the ice cream?
228	Was the plastic fragment a part of the packaging or an external contaminant?
228	Has Coles Myer Ltd taken any corrective actions to prevent similar incidents in the future?
228	Can I get more information about the production date and batch number of the affected ice cream product?
228	Are there any other reports of foreign bodies found in Coles Myer Ltd's ice cream products?
229	What is the nature of the foreign body found in the Coles Garden Vegetable Pasta Sauce?
229	Is there a risk of glass fragments causing physical harm if ingested with pasta?
229	Has this incident been reported to any regulatory agencies, such as the FDA or FSANZ?
229	Are there any similar incidents of glass fragments being found in pasta products from other manufacturers?
229	What steps can I take to minimize the risk of consuming glass fragments when eating pasta?
230	What is the nature of the biological hazard detected in the Lion Globe Dry Seaweed 50g product from Wei Wah International Trading Pty Ltd?
230	Is it possible that the algae product was contaminated with salmonella due to improper handling or storage during transportation?
230	Can you provide more information about the specific strain of salmonella found in the Lion Globe Dry Seaweed 50g product?
230	How does this incident affect the overall safety and quality of other products from Wei Wah International Trading Pty Ltd?
230	Are there any similar incidents involving dry seaweed or algae products that have been reported in the past?
231	What is the chemical hazard that was detected in the Masterfoods Mars and Snickers Bars?
231	Are there any similar incidents of chemical hazards in chocolate bars reported previously?
231	Has Masterfoods taken corrective actions to prevent future occurrences of this chemical hazard?
231	Can I see a list of all products from Masterfoods that have been recalled due to chemical hazards?
231	What are the potential health risks associated with consuming these contaminated chocolate bars?
232	What was the nature of the biological hazard found in Coles—Farmland Natural Spring Water?
232	Was there any information provided about the source or origin of the contaminated spring water?
232	Did the incident involve a recall of the product, and if so, what were the affected areas?
232	Were there any reported cases of illness or adverse reactions associated with consuming this product?
232	Is there any additional information available about the 'other' hazard category mentioned in this record?
233	What is the specific reason for the presence of peanuts and products thereof in Atkins Advantage Chocolate Decadence Bars?
233	Are there any other allergens present in these chocolate bars that I should be aware of?
233	Can you provide more information about the product category 'cocoa and cocoa preparations, coffee and tea' and how it relates to this incident?
233	What are the potential health risks associated with consuming peanuts and products thereof in chocolate bars like Atkins Advantage Chocolate Decadence Bars?
233	Are there any similar incidents involving Manassen Foods Australia Pty Ltd or their products that I should be aware of?
234	What is the nature of the allergen hazard identified in the Hello Bee Bee Pon Rice Snack?
234	Is there a risk of cross-contamination with peanuts or peanut products in the production process of this rice snack?
234	What is the recommended course of action for consumers who have already consumed Hello Bee Bee Pon Rice Snack and are allergic to peanuts?
234	Has there been any recall or product withdrawal issued by regulatory authorities in response to this incident?
234	What measures can be taken by the manufacturer, Vihenthi Co Pty Ltd, to prevent similar incidents involving allergens in their products in the future?
235	What type of chemical hazard was detected in the Skinny Milk product?
235	Is it true that the affected product is a milk-based item, and if so, what specific type of dairy product is it?
235	Can you provide more information about the 'other not classified chemical hazards' mentioned in this incident record?
235	Was there any recall or action taken by Parmalat Foods Australia Pty Ltd as a result of this incident?
235	Are there any similar incidents involving milk products and chemical hazards in the database that I can review?
236	What is the nature of the chemical hazard found in the Pun Chen Lye Water product?
236	Is there any information available about the source or origin of the contamination in the bottled water?
